NAME,EBIT(t-1),PB(t-1),QR(t-1),DA(t-1),TATO(t-1),ROS(t-1),OCFTD(t-1),EBIT(t-2),PB(t-2),QR(t-2),DA(t-2),TATO(t-2),ROS(t-2),OCFTD(t-2)
AAA,356.04,0.42,1.2,42.79,1.47,0.74,1.76,549.53,1.21,1.33,45.51,1.41,2.47,9.74
AAM,17.88,0.57,9.96,4.14,1.01,7.97,-43.91,0.33,0.68,14.11,3.36,0.65,0.17,670.2
AAT,131.64,0.43,3.18,30,0.95,9.39,-74,46.87,1.72,2.81,31.52,0.61,6.09,15.64
ABR,38.55,0.61,2.37,23.38,0.3,28.21,55.57,23.47,1.95,4.48,18.16,0.31,21.2,23.36
ABS,39.07,0.61,1.4,34.06,0.86,1.7,-2.99,115.35,2.37,1.89,41.84,0.87,5.45,-84.44
ABT,73.19,0.61,1.3,24.36,1.01,10.43,88.26,38.44,0.98,0.69,29.56,0.6,9.89,-1.09
ACC,127.34,0.61,1.28,42.07,0.39,12.85,-49.7,69.67,2.16,0.61,59.59,0.34,10.91,-65.31
ACL,168.39,0.61,0.43,44.35,0.79,10.11,7.89,79.86,1.28,0.41,51.55,0.78,3.47,48.13
ADG,74.67,0.61,3.02,20.75,1.25,9.81,17.83,54.49,3.89,2.05,40.07,1.31,6.61,41.58
ADS,130.59,0.61,0.9,69.88,0.81,4.43,9.17,149.43,2.37,0.8,70.59,0.79,6.64,8.93
AGG,378.49,0.61,0.83,75.44,0.52,1.56,35.07,618,1.61,0.72,78.71,0.16,23.29,8.82
AGM,-65.21,0.61,1.15,76.64,1.97,-4.03,18.27,78.59,1.36,1.06,74,3,1.14,-47.78
AMD,-125.36,0.61,2.67,21.56,0.2,-30.93,15,45.67,0.68,2.62,23.88,0.58,0.72,-4.73
ANV,878.86,0.61,0.36,47.29,0.95,13.76,11.95,254.4,1.81,0.49,52.21,0.72,3.68,9.82
APC,17,0.61,2.77,35.7,0.14,-6.64,11.21,18.97,0.8,5.08,36.46,0.13,-1.24,-8.67
APH,436.4,0.61,1.17,50.12,1.39,0.33,3.77,581.49,1.22,1.28,51.79,1.3,1.61,6.65
ASG,261.29,0.61,2.85,39.8,0.77,7.49,17.05,103.62,1.62,1.49,35.47,0.35,4.84,9.32
ASM,1541.3,0.61,0.82,58.97,0.74,7.01,-2.34,1231.84,0.78,0.98,58.3,0.64,6.18,10.27
ASP,57.6,0.61,0.74,76.21,1.99,0.34,-8.9,51,1.05,0.7,75.76,1.77,0.75,19.17
AST,42.31,0.61,2.57,21.32,1.12,5.6,74.44,-125.97,5.76,2.9,17.92,0.27,-83.41,-92.92
BAF,380.43,0.61,0.79,64.39,1.36,4.16,-6.45,398.72,2.2,0.84,73.34,1.95,3.08,5.18
BBC,140.39,0.61,0.12,44.98,1.52,2.18,10.02,33.19,0.99,0.95,40.14,0.69,2.05,76.74
BCE,-49.5,0.61,1.45,48.7,0.15,-52.82,10.83,31.2,1.64,1.47,51.43,0.13,19.9,-0.29
BCG,2155.5,0.61,1.34,68.64,0.11,12.06,-9.1,2278,0.85,1.31,77.85,0.08,38.63,-30.72
BCM,2753.88,0.61,0.37,63.24,0.13,26.49,2.37,2512.44,3.86,0.44,64.98,0.14,20.85,1.08
BFC,332.36,0.61,0.4,68.49,2.11,2.15,-4.19,429.68,1.37,0.21,64.66,2.24,3.83,-10.43
BHN,664.06,0.61,2.28,26.56,1.17,6.27,53.35,424.64,2.9,1.8,31.79,0.94,4.66,32.13
BKG,34.43,0.61,13.64,5.67,0.56,6.88,-400.56,31.3,1.04,4.22,13.45,0.8,6.4,58.77
BMC,26.53,0.61,6.07,8.98,0.76,11.66,271.48,20.76,1.52,2.77,14.54,0.58,12.69,226.45
BMP,872.55,0.61,4.13,13.7,1.98,11.99,213.34,268.24,2.14,2.66,19.19,1.55,4.71,-5.64
BRC,25.68,0.61,1.23,31.99,1.09,5.51,16.9,28.85,0.97,1.22,32.06,1.15,6.23,14.24
BTP,84.59,0.61,4.25,22.28,0.29,13.78,0.39,157.6,0.84,2.27,33.21,0.67,10.49,-15.57
BTT,22.71,0.61,3.86,22.39,0.35,10.88,36.49,5.91,1.68,4.06,22.69,0.22,4.73,-1.31
BWE,1008.66,0.61,1.04,54.56,0.37,21.43,23.91,1018.38,2.11,1.01,56.74,0.36,24.21,17.33
C32,46.3,0.61,1.29,41.69,0.58,4.6,-22.61,101.91,0.86,1.34,39.99,0.53,14.59,-3.44
C47,70.49,0.61,0.56,77.08,0.46,1.98,-4.42,106.63,1.55,0.47,78.05,0.55,4.9,8.67
CAV,599.76,0.61,0.34,61.11,2,3.39,42.76,526.82,1.9,0.26,72.94,1.71,3.2,-12.45
CCI,30.71,0.61,15.42,66,0.65,5.25,27.71,40.74,1.57,15.48,59.36,0.43,10.89,11.85
CCL,99.52,0.61,1.69,52.98,0.4,10.87,-15.79,125.23,1.4,1.59,50.93,0.84,8.01,6.43
CDC,53.89,0.61,1.14,80.5,0.91,1.76,-11.36,48.81,1.25,0.96,75.83,0.73,3.99,-21.12
CHP,633.33,0.61,1.34,38.73,0.34,46.37,54.54,370.39,1.76,1.19,42.12,0.23,30.74,22.55
CIG,13.67,0.61,0.46,78.64,0.11,-0.49,20.89,17.27,2.52,0.4,75.79,0.04,55.94,-1.34
CII,2177.35,0.61,0.59,70.87,0.19,15.57,6.47,1027.99,1.32,0.65,72.86,0.09,-8.46,-3.92
CKG,238.09,0.61,0.6,77,0.3,11.77,0.06,223.52,3.19,0.54,79.36,0.24,13.84,1.47
CLC,183.79,0.61,0.58,39.24,1.89,6.09,-17.43,171.59,1.25,0.99,26.3,2.18,6.32,-5.16
CLL,112.33,0.61,7.13,7.62,0.38,34.37,224.68,98.51,1.76,11.1,4.46,0.38,32.11,341.4
CLW,42.67,0.61,1.28,51.7,2.6,2.4,31.06,38.02,1.72,1.14,50.74,2.43,2.4,13.03
CMG,418.28,0.61,1.23,55.57,0.89,5.25,17.61,452.22,2.25,1.25,56.87,1.13,5.24,9.57
CMV,39.64,0.61,0.67,48.74,9.41,0.53,8.83,45.51,1.04,0.56,46.88,7.16,0.74,44.86
CMX,173.51,0.61,0.8,52.02,1.09,3.28,37.02,145.32,1.34,0.97,46.47,1.07,3.99,-31.76
CNG,157.92,0.61,1.52,55.44,3.49,2.81,26.67,108.02,1.56,1.35,53.52,2.8,2.69,21.44
COM,0.98,0.61,1.77,17.36,9.08,0.03,24.51,49.92,1.26,2.61,11.74,5.15,1.51,46.89
CRC,43.45,0.61,1.36,41.92,0.65,6.34,5.65,33.59,0.98,1.05,45.57,0.58,6.09,-40.16
CRE,395.82,0.61,3.04,26.7,0.5,5.69,-114.48,724.88,2.4,1.91,45.17,1.11,8.05,-13.28
CSM,216.46,0.61,0.41,69.04,1.27,1.49,1.45,164.47,1.56,0.43,69.73,1.21,0.87,-9.37
CSV,513.66,0.61,2.99,16.85,1.33,19.39,85.67,277.97,1.62,2,20.34,1.14,13.83,47.91
CTD,114,0.61,1.43,56.69,0.88,0.14,-15.13,39.26,0.98,1.95,40.77,0.65,0.27,7.42
CTF,210.21,0.61,0.85,63.4,2.94,1.86,-33.91,112.52,1.8,0.99,53.93,2.7,1.15,-15.83
CTI,313.81,0.61,0.45,70.03,0.2,11.58,2.81,187.53,1.18,0.66,73.61,0.16,-1.74,7.37
CTR,581.93,0.61,1,73.2,1.87,4.74,1.72,478,6.21,0.98,66.9,1.9,5.04,22.18
CVT,285.73,0.61,1.27,74.07,0.7,4.89,-16.87,169.31,2.16,1.24,67.97,0.76,6.53,12.25
D2D,21.34,0.61,4.86,39.6,0.08,13.12,-13.91,303.37,1.65,8.15,38.58,0.25,51.39,-53.89
DAG,81.69,0.61,0.38,68.47,1.07,0.33,-2.94,75.26,1.34,0.52,66.49,1.04,0.3,-1.17
DAH,74.1,0.61,9.12,21.48,0.02,212,1,66.17,1.17,3.42,23.41,0.79,5.06,-40.07
DAT,142.62,0.61,1.28,56.28,1.77,2.67,2.65,92.43,1.64,1.2,57.97,1.38,1.53,10.16
DBC,439.75,0.61,0.28,61.79,1.05,1.22,4.39,1161.97,1.8,0.28,56.86,1.03,7.67,9.49
