NAME,EBIT(t-1),PB(t-1),QR(t-1),DA(t-1),TATO(t-1),ROS(t-1),OCFTD(t-1),EBIT(t-2),PB(t-2),QR(t-2),DA(t-2),TATO(t-2),ROS(t-2),OCFTD(t-2),TARGET
AAA,520,1.4,0.9,53.04,0.87,3.81,13.49,822,1.1,1.2,59.25,1.16,5.3,10.33,0
AAA,550,1.6,1.3,45.5,1.31,2.47,9.75,520,1.4,0.9,53.04,0.87,3.81,13.49,0
AAM,-12,0.6,3.3,8.06,0.57,-9.92,-141.18,10,0.6,4.9,7.02,0.95,3.7,-168.75,1
AAM,0.33,0.7,14.1,3.48,0.67,0.17,642.86,-12,0.6,3.3,8.06,0.57,-9.92,-141.18,0
ABR,30,2.1,4.6,16.31,0.35,25.51,50,11,1.1,3.8,18.22,0.1,29.63,-165.96,0
ABR,23,2,4.5,18.21,0.29,20.88,22.81,30,2.1,4.6,16.31,0.35,25.51,50,0
ABS,115,2.2,1.9,41.87,0.75,5.42,-84.41,68,3.7,1.2,62.82,0.94,4.35,-37.01,0
ABT,19,0.8,0.8,24.45,0.58,4.4,7.52,56,0.9,0.8,23.23,0.67,13.57,-15.2,0
ABT,38,0.9,0.7,29.63,0.58,9.94,-1.14,19,0.8,0.8,24.45,0.58,4.4,7.52,0
ACC,92,1.5,1.2,44.47,0.53,13.4,-67,59,1.7,1.5,49.9,0.95,9.7,9.68,0
ACC,69,3.4,0.6,59.52,0.3,10.76,-65.29,92,1.5,1.2,44.47,0.53,13.4,-67,0
ACL,76,1,0.4,58.13,0.57,2.94,-22.59,201,0.8,0.5,54.41,0.97,10.01,0.63,0
ACL,80,1.2,0.4,51.58,0.83,3.46,48.14,76,1,0.4,58.13,0.57,2.94,-22.59,0
ADG,55,5.6,1.6,46.07,1.02,8.85,2.44,51,6.4,1.9,38.28,1.74,11.29,37.5,0
ADG,55,4.1,2.1,40,1.3,6.67,41.67,55,5.6,1.6,46.07,1.02,8.85,2.44,0
ADS,72,0.8,0.8,77.04,0.73,1.79,-1.27,52,0.9,0.8,76.75,0.98,0.47,1.13,0
ADS,150,3,0.8,70.58,0.76,6.61,8.92,72,0.8,0.8,77.04,0.73,1.79,-1.27,0
AGG,618,2.2,0.7,78.7,0.14,23.29,8.82,529,1.6,0.7,76.21,0.18,25.37,0.36,0
AGM,45,0.5,1.2,42.16,2.58,1.28,20,58,0.4,1,42.88,2.75,1.89,1.81,0
AGM,79,1.4,1.1,74.03,2.11,1.15,-47.74,45,0.5,1.2,42.16,2.58,1.28,20,0
AMD,64,0.3,2.6,27.52,0.41,2.14,-17.96,79,0.2,2.5,28.5,0.82,1.52,-48.39,0
AMD,46,0.7,2.6,23.87,0.59,0.72,-4.68,64,0.3,2.6,27.52,0.41,2.14,-17.96,0
ANV,302,1.3,0.4,51.72,0.71,5.87,-1.2,880,1.1,0.6,42.3,1.08,15.71,18.75,0
ANV,254,1.8,0.5,52.22,0.71,3.69,9.8,302,1.3,0.4,51.72,0.71,5.87,-1.2,0
APC,57,0.8,5.7,36.76,0.14,32.39,6.45,70,0.7,2.8,41.5,0.14,39.16,9.88,0
APC,19,0.8,5.1,36.5,0.13,-1.55,-8.77,57,0.8,5.7,36.76,0.14,32.39,6.45,0
APH,582,2.5,1.3,51.79,1.2,1.61,6.66,558,4.9,0.9,57.9,0.81,2.85,11.41,0
ASG,103,2.1,1.5,35.47,0.34,4.85,9.35,98,2.9,3.2,33.77,0.34,8.43,17.66,0
ASM,1142,1,0.8,60.96,0.71,4.57,1.34,1126,0.4,0.7,59.59,0.91,5.79,8.21,0
ASM,1232,1.2,1,58.3,0.63,6.18,10.27,1142,1,0.8,60.96,0.71,4.57,1.34,0
ASP,74,0.5,0.5,71.77,1.52,1.18,3.18,92,0.5,0.4,69.58,1.57,1.56,23.67,0
ASP,51,1,0.7,75.79,1.67,0.74,19.19,74,0.5,0.5,71.77,1.52,1.18,3.18,0
AST,-47,5.3,3.8,13.6,0.57,-14.48,-101.18,263,6.3,1.6,26.32,1.31,18.58,91.3,1
AST,-126,6.4,2.9,17.89,0.31,-83.77,-93.33,-47,5.3,3.8,13.6,0.57,-14.48,-101.18,1
BBC,128,1.2,1.4,28.97,0.79,7.96,-94.85,121,0.9,1.3,36.11,0.96,6.32,52.73,0
BBC,33,1.2,0.9,40.12,0.67,2.02,76.75,128,1.2,1.4,28.97,0.79,7.96,-94.85,0
BCE,49,1.2,1.2,61.83,0.45,7.8,-7.93,49,0.5,1.3,57.13,0.74,5.86,14.93,0
BCE,31,1.6,1.5,51.42,0.14,19.82,-0.24,49,1.2,1.2,61.83,0.45,7.8,-7.93,0
BCG,636,2.8,0.9,87.72,0.08,14.34,-10.51,368,2.2,0.5,77.6,0.22,8.95,-17.21,0
BCG,2278,3,1.3,77.85,0.07,38.62,-30.72,636,2.8,0.9,87.72,0.08,14.34,-10.51,0
BCM,3069,2.6,0.3,64.55,0.13,33.6,8.14,3630,2.1,0.2,63.8,0.19,32.03,10.56,0
BCM,2513,4.1,0.4,64.98,0.14,20.84,1.08,3069,2.6,0.3,64.55,0.13,33.6,8.14,0
BFC,282,0.9,0.6,60.48,1.77,3.06,24.34,252,0.6,0.6,65.43,1.84,1.61,28.21,0
BFC,429,1.5,0.2,64.66,2.01,3.84,-10.43,282,0.9,0.6,60.48,1.77,3.06,24.34,0
BHN,790,3.3,2.2,25.36,0.97,8.87,26.32,701,3.7,1.5,33.34,1.2,5.6,42.18,0
BHN,439,3.3,1.7,32.86,0.98,4.85,26.92,790,3.3,2.2,25.36,0.97,8.87,26.32,0
BKG,31,2,4.2,13.39,0.79,6.27,59.68,25,2.4,3.6,16.19,0.8,5.54,35.62,0
BMC,20,0.8,3.3,11.35,0.99,6.64,-53.85,21,0.8,2.6,9.05,0.86,8.38,-25,0
BMC,21,1.4,2.8,14.34,0.56,12.41,228.57,20,0.8,3.3,11.35,0.99,6.64,-53.85,0
BMP,657,1.9,3.3,18.23,1.55,11.16,166.79,529,1.3,2.9,13.37,1.52,9.75,253.02,0
BMP,268,2,2.7,19.2,1.6,4.7,-5.69,657,1.9,3.3,18.23,1.55,11.16,166.79,0
